,0,1,2,3,4,5,6,7,8,9
0,0.22,0.01,-0.14,0.05,-0.02,0.03,0.34,0,0.04,0.01
1,0.18,0,-0.16,0.02,0.03,-0.01,0.31,0,0.01,-0.02
2,0.16,-0.01,-0.18,0.01,0.04,-0.04,0.23,-0.01,-0.01,-0.07
3,0.06,-0.02,-0.11,0.01,0.03,0.07,0.12,0.05,0.01,0.04
4,-0.01,-0.03,0.04,-0.02,0.04,0.09,0.09,0.06,0.11,0.03
5,0.1,-0.05,-0.08,-0.06,0.12,-0.09,0.04,-0.1,0.1,-0.04
6,0.06,-0.05,-0.04,-0.04,0.1,-0.08,-0.08,-0.13,0.09,-0.07
7,0.13,-0.05,-0.11,-0.05,0.1,-0.11,-0.01,-0.12,0.09,-0.09
8,0.18,-0.04,-0.1,-0.07,0.1,-0.2,0.07,-0.15,0.08,-0.13
9,0.05,-0.04,-0.1,-0.05,0.12,-0.14,-0.04,-0.09,0.07,-0.14
10,0.01,-0.03,-0.03,-0.09,0.02,-0.16,-0.13,-0.06,0.08,-0.11
11,0,-0.05,-0.09,-0.09,-0.02,-0.14,-0.18,-0.06,0.03,-0.1
12,-0.07,-0.06,-0.16,-0.09,0.06,-0.18,-0.3,-0.09,0.04,-0.11
13,-0.11,-0.04,-0.05,-0.12,-0.04,-0.26,-0.3,-0.15,0.04,-0.11
14,-0.12,-0.06,-0.05,-0.12,-0.11,-0.23,-0.33,-0.09,0.03,-0.1
15,0.04,-0.05,-0.1,-0.17,-0.02,-0.25,-0.05,-0.12,-0.02,-0.1
16,0.17,-0.05,-0.06,-0.19,-0.11,-0.22,0.01,-0.15,-0.02,-0.12
17,0.11,0,-0.11,-0.2,-0.08,-0.26,0.05,-0.15,-0.03,-0.13
18,0.09,-0.04,-0.1,-0.21,-0.08,-0.27,0.05,-0.14,-0.01,-0.13
19,0.1,-0.02,-0.09,-0.22,-0.12,-0.31,-0.02,-0.21,-0.04,-0.17
20,0.11,-0.01,-0.09,-0.25,-0.16,-0.32,0.13,-0.24,-0.02,-0.15
21,-0.1,0.03,0.06,-0.2,-0.05,-0.13,-0.03,-0.08,-0.01,-0.07
22,0.06,0.05,-0.04,-0.12,-0.08,-0.03,0.14,-0.06,-0.04,-0.06
23,0.16,-0.05,0.03,-0.27,-0.15,-0.11,0.29,-0.12,-0.03,-0.07
24,0.31,-0.04,-0.04,-0.17,-0.47,-0.12,0.29,-0.15,-0.06,-0.07
25,0.28,-0.06,-0.12,-0.19,-0.51,-0.17,0.32,-0.24,-0.06,-0.07
26,0.29,-0.05,-0.16,-0.19,-0.74,-0.16,0.08,-0.23,-0.04,-0.06
27,0.26,-0.05,-0.15,-0.15,-0.69,-0.2,0.07,-0.22,-0.1,-0.05
28,0.27,-0.05,-0.15,-0.14,-0.69,-0.2,0.08,-0.23,-0.1,-0.07
29,0.27,-0.05,-0.25,-0.15,-0.69,-0.21,0.04,-0.24,-0.11,-0.07
30,0.29,-0.05,-0.24,-0.14,-0.69,-0.2,0.05,-0.24,-0.11,-0.07
31,0.29,-0.04,-0.28,-0.15,-0.82,-0.19,0.06,-0.24,-0.12,-0.07
32,0.35,-0.05,-0.31,-0.11,-0.8,-0.22,-0.01,-0.25,-0.07,-0.07
33,0.18,-0.04,-0.29,-0.17,-0.74,-0.22,-0.03,-0.24,-0.05,-0.08
34,0.31,-0.03,-0.44,-0.18,-0.55,-0.2,0.38,-0.19,-0.1,-0.1
35,0.16,-0.03,-0.61,-0.21,-0.64,-0.2,0.29,-0.21,-0.01,-0.14
36,0.16,-0.06,-0.6,-0.24,-0.79,-0.18,0.05,-0.2,-0.08,-0.14
37,0.1,-0.13,-0.27,-0.29,-0.76,-0.15,-0.26,-0.21,-0.13,-0.1
38,-0.15,-0.11,-0.41,-0.31,-1,-0.21,-0.52,-0.23,-0.09,-0.15
